You Hurt Me But I Still Love You.,sad
True Love Isn'T Found. It'S Built.,sad
My Silence Is Just Another Word For Pain.,sad
You Killed What Was Left Of The Good In Me.,sad
I Wish I Could Ignore You Like You Ignore Me.,sad
Sometimes All You Need Is One Person Who Cares.,sad
Sometimes All You Need Is One Person Who Cares.,sad
I'M That Person Everyone Replaces After A While.,sad
"I Don'T Care For The People, Who Don'T Care For Me.",sad
No Beauty Shines Brighter Than That Of A Good Heart. ,sad
"If You Give Up On Me, I'M Going To Give Up On Me Too.",sad
I'Ve Been Sad For Years. Don'T Tell Me It Gets Better.,sad
Behind My Smile Is Everything You'Ll Never Understand.,sad
"I Stay Home Alone, Listen To Music And Think Too Much. ",sad
The Worst Kind Of Sad Is Not Being Able To Explain Why.,sad
Tears Are Words Too Painful For A Broken Heart To Speak.,sad
I Like To Be Alone. But I Would Rather Be Alone With You.,sad
"I Say I Don'T Care Anymore, But Truth Is I Care Too Much.",sad
"No Matter How Far You Are, You Are Always In My Thoughts.",sad
"I Say I Don'T Care Anymore, But Truth Is I Care Too Much.",sad
"I Am Tired Of Fightin. For Once, I Want To Be Fought For.",sad
I Hope You'Ll Realize How Much You'Re Hurting Me Some Day.,sad
"Every Time I Trust Somebody, They Show Me Why I Shouldn'T.",sad
I Really Need To Stop Being So Emotional About Everything.,sad
The Root Of Disappointment Comes From Holding Expectation.,sad
"It Hurts To Let Go, But Sometimes It Hurts More To Hold On.",sad
I Miss The The Time When I Actually Meant Something To You.,sad
I Wanted To Text You But I Remembered We Don'T Talk Anymore.,sad
I Wanted To Text You. But I Remembered We Don'T Talk Anymore.,sad
"Oh, I'M Sorry. I Forgot. I Only Exist When You Need Something.",sad
Smiling Has Always Been Easier Than Explaining Why You'Re Sad.,sad
I Wish My Brain Had A Map To Tell Me Where My Heart Should Go.,sad
Its So Hard To Pretend Not To Love A Person When You Really Do.,sad
Love Sometimes Comes Like A Dream And Leaves Likes A Nightmare.,sad
Sometimes It Takes Losing Something Realize To What You'Ve Had.,sad
I Feel Like I' Waiting For Something That Isn'T Going To Happen.,sad
"It'S Not That I Wanna Have It, It'S Just That I Wanna Deserve It.",sad
Trust Is Like Papers. Once It'S Crumpled It Can'T Be Perfect Again.,sad
It'S Sad How Most People Become Who They Promised They'D Never Be !,sad
"Even When I'M Hurting So Bad Inside, I'Ll Still Smile & Say I'M Fine.",sad
"Wanted By Many, Taken By None, Talking To Some, Just Waiting For One.",sad
"When People Treat You Like They Don'T Care, Believe Them. They Don'T.",sad
Every Birth Is Paid By Death & Every Happiness Is Paid By Unhappiness.,sad
"You Know That Nothing Will Change, But For Some Reason You Still Wait.",sad
"Sick Of Crying, Tired Of Trying, Yes I'M Smiling But Inside I'M Dying.",sad
There'S Nothing More Depressing Than Having It All & Still Feeling Sad.,sad
"Technically, I Am Single. But My Heart Is Taken By Someone I Can;T Have.",sad
"Love The Hearts That Hurts You, But Never Hurt The Heart That Loves You.",sad
"A Relationship Is Only For Two, But Some Bitches Don'T Know How To Count.",sad
Use Your Smile To Change The World. Don'T Let The World Change Your Smile.,sad
You May Not Be Pushing Me Away But You'Re Not Fighting To Keep Me Either.,sad
There Is Nothing More Depressing Than Having It All And Still Feeling Sad.,sad
"Nobody Deserves Your Tears, But Whoever Deserves Them Will Not Make You Cry.",sad
"Sick Of Crying, Tired Of Trying, Yes I'M Still Smiling But Inside I'M Dying.",sad
Find Someone Who Knows That You'Re Not Perfect But Treats You As If You Are.,sad
The Word Happiness Would Lose Its Meaning If It Were Not Balanced By Sadness.,sad
And Sometimes You Just Have Forget About That Person You Once Loved & Move On.,sad
Worst Kind Of Pain Is When You'Re Smiling Just To Stop The Tears From Falling.,sad
"It'S Never The Tears That Measure The Pain, Sometimes Its Take Smile We Fake.",sad
"I Feel Like A Balloon…Looking Bright & Cheerful, But Empty And Lonely Inside.",sad
"Isn'T It Sad When You Get Hurt So Much, You Can Finally Say ” I'M Used To It “.",sad
The Toughest Part Of Letting Go Is Realizing That The Other Person Already Did.,sad
"I Keep Myself Busy With Things I Do But Every time I Pause, I Still Think Of You.",sad
You Lose Yourself Trying To Hold On To Someone Who Doesn't Care About Losing You.,sad
And Sometimes You Just Have To Forget About That Person You Once Loved & Move On.,sad
"At Least, Tell A Lie That You Love Me, I Will Live The Rest Of My Life With That.",sad
People Cry Not Because They'Re Weak. Its Because They've Been Strong For Too Long.,sad
You Touched My Heart With A Thousand Pleasures And Broke It In To Million Pieces.,sad
I Know They Say That First Love Is The Sweetest But That First Cut Is The Deepest.,sad
It'S Not Always The Tears That Measure The Pain. Sometimes It'S The Smile We Fake.,sad
The Worst Kind Of Pain Is When You'Re Smiling Just To Stop The Tears From Falling.,sad
"I'M Not Upset That You Lied To Me, I'M Upset That From Now On I Can'T Believe You.",sad
"People Cry, Not Because They'Re Weak. Its Because They've Been Strong For Too Long.",sad
When You Truly Love Someone You Given Everything You Can And Never Expect A Return.,sad
It'S Sad When You Realize You Aren'T As Important To Someone As You Thought You Are.,sad
I Did The Searching And Remembering. He/She Did The Disappearing And The Forgetting.,sad
"When I Cry About One Thing, I End Up Crying About Everything That'S Messed Up My Life.",sad
"Even If We Can'T Be Together In The End, I Am Still Glad You Were A Part Of My Life.",sad
People Leave Because It'S Easier To Walk Away Than To Fight For What They Really Want.,sad
"Everything is Complicated, Even Those Things That Seem Flat In Their Bleakness Or Sadness.",sad
"Every Thought Is A Battle, Every Breath Is A War And I Don'T Think I'M Winning Anymore.",sad
Nothing Hurts More Than Realizing He Meant Everything To You & You Meant Nothing To Him.,sad
"Everything'S Complicated, Even Those Things That Seem Flat In Their Bleakness Or Sadness.",sad
Moving On . Sound Easy. But I Died Thousand Times In Pain Just To Appreciate This Phrase.,sad
